edge,coefficient_value,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_corrected,decision_corrected_test_tips,decision_test_tip2tip,branch_length,number_of_sites,rate_category
"(A1, Node1*)",2.0919,0.0477,43.8966,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0621710831,1000,single_rate
"(A2, Node1*)",2.113,0.0512,41.3061,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1608972338,1000,single_rate
"(Node2*, Node1*)",1.6912,0.0461,36.7096,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.1682370326,1000,single_rate
"(Node3*, Node2*)",1.7809,0.0462,38.5085,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.1401773385,1000,single_rate
"(Node4*, Node2*)",1.7762,0.0458,38.753,0.0,2.3263,Informative,3.5293,Informative,InfoT2T,0.1216731838,1000,single_rate
"(A3, Node3*)",2.275,0.0492,46.2148,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0445287462,1000,single_rate
"(A4, Node3*)",2.3129,0.0521,44.3981,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1181900417,1000,single_rate
"(Node5*, Node4*)",1.5208,0.0392,38.7977,0.0,2.3263,Informative,3.5293,Informative,InfoT2T,0.0043852088,1000,single_rate
"(Node8*, Node4*)",0.1346,0.0535,2.5172,0.0059,2.3263,Informative,3.6047,Saturated,InfoT2T,2.2904773271,1000,single_rate
"(Node6*, Node5*)",2.2378,0.0495,45.2164,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.0702957449,1000,single_rate
"(Node7*, Node5*)",2.267,0.0489,46.394,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.0402285373,1000,single_rate
"(Node9*, Node8*)",2.3236,0.0499,46.5611,0.0,2.3263,Informative,3.6006,Informative,InfoT2T,0.0458649254,1000,single_rate
"(B4, Node8*)",2.1878,0.0468,46.7085,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,2.3962e-06,1000,single_rate
"(A5, Node6*)",2.469,0.0522,47.3415,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0700901464,1000,single_rate
"(A6, Node6*)",2.4819,0.0519,47.8633,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0591425143,1000,single_rate
"(A7, Node7*)",2.6312,0.0527,49.916,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0386008967,1000,single_rate
"(A8, Node7*)",2.6268,0.053,49.5323,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0491454604,1000,single_rate
"(Node10*, Node9*)",1.8298,0.0464,39.4548,0.0,2.3263,Informative,3.5879,Informative,InfoT2T,0.1109244823,1000,single_rate
"(B3, Node9*)",2.3454,0.0521,45.0025,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1105635512,1000,single_rate
"(Node11*, Node10*)",1.7485,0.0447,39.1057,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.0987085761,1000,single_rate
"(Node12*, Node10*)",1.6451,0.0462,35.6295,0.0,2.3263,Informative,3.5293,Informative,InfoT2T,0.1839423891,1000,single_rate
"(B1, Node11*)",2.1271,0.0501,42.4738,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1178689984,1000,single_rate
"(B2, Node11*)",2.1335,0.0498,42.8028,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1107704209,1000,single_rate
"(Node13*, Node12*)",1.856,0.0494,37.5959,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.2011449506,1000,single_rate
"(Node14*, Node12*)",1.7688,0.0435,40.6198,0.0,2.3263,Informative,3.384,Informative,InfoT2T,0.0481190513,1000,single_rate
"(B5, Node13*)",2.478,0.0533,46.5183,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1012101872,1000,single_rate
"(B6, Node13*)",2.3665,0.0494,47.9166,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0223854365,1000,single_rate
"(B7, Node14*)",2.2829,0.0515,44.3184,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.1113846094,1000,single_rate
"(B8, Node14*)",2.3063,0.0505,45.6797,0.0,2.3263,Informative,3.2087,Informative,InfoT2T,0.0724772497,1000,single_rate
