branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, NodeA12*)",2.1018,0.0479,43.8482,0.0,1.6449,Informative,2.7131,Informative,0.08088155,1000,single_rate
"(A2, NodeA12*)",2.0873,0.0506,41.2734,0.0,1.6449,Informative,2.7131,Informative,0.1426113,1000,single_rate
"(NodeA1234*, NodeA12*)",1.6724,0.0457,36.5819,0.0,1.6449,Informative,2.9137,Informative,0.1774765,1000,single_rate
"(NodeA34*, NodeA1234*)",1.7553,0.0457,38.3723,0.0,1.6449,Informative,2.9137,Informative,0.1200809,1000,single_rate
"(NodeAroot*, NodeA1234*)",1.6671,0.0431,38.6703,0.0,1.6449,Informative,3.0781,Informative,0.07952913,1000,single_rate
"(A3, NodeA34*)",2.2934,0.0496,46.1976,0.0,1.6449,Informative,2.7131,Informative,0.05846461,1000,single_rate
"(A4, NodeA34*)",2.2813,0.0515,44.3203,0.0,1.6449,Informative,2.7131,Informative,0.09517159,1000,single_rate
"(NodeA5678*, NodeAroot*)",1.6066,0.0415,38.7316,0.0,1.6449,Informative,3.0781,Informative,0.05108455,1000,single_rate
"(NodeBroot*, NodeAroot*)",0.077,0.0473,1.6294,0.0516,1.6449,Saturated,3.1628,Saturated,2.0,1000,single_rate
"(NodeA56*, NodeA5678*)",2.2135,0.049,45.1553,0.0,1.6449,Informative,2.9137,Informative,0.07450149,1000,single_rate
"(NodeA78*, NodeA5678*)",2.258,0.0487,46.3586,0.0,1.6449,Informative,2.9137,Informative,0.05339332,1000,single_rate
"(NodeB1234*, NodeBroot*)",1.5371,0.0432,35.5991,0.0,1.6449,Informative,3.0781,Informative,0.1173242,1000,single_rate
"(NodeB5678*, NodeBroot*)",1.3995,0.0394,35.4978,0.0,1.6449,Informative,3.0781,Informative,0.0483395,1000,single_rate
"(A5, NodeA56*)",2.4697,0.0522,47.3483,0.0,1.6449,Informative,2.7131,Informative,0.06289357,1000,single_rate
"(A6, NodeA56*)",2.485,0.052,47.8166,0.0,1.6449,Informative,2.7131,Informative,0.06049333,1000,single_rate
"(A7, NodeA78*)",2.6285,0.0527,49.9088,0.0,1.6449,Informative,2.7131,Informative,0.0539545,1000,single_rate
"(A8, NodeA78*)",2.6172,0.0528,49.5414,0.0,1.6449,Informative,2.7131,Informative,0.05328995,1000,single_rate
"(NodeB12*, NodeB1234*)",1.7591,0.0451,39.0069,0.0,1.6449,Informative,2.9137,Informative,0.08413112,1000,single_rate
"(NodeB34*, NodeB1234*)",1.8432,0.0467,39.4426,0.0,1.6449,Informative,2.9137,Informative,0.1013537,1000,single_rate
"(NodeB56*, NodeB5678*)",1.8108,0.0484,37.3923,0.0,1.6449,Informative,2.9137,Informative,0.1909937,1000,single_rate
"(NodeB78*, NodeB5678*)",1.7871,0.044,40.5798,0.0,1.6449,Informative,2.9137,Informative,0.05784826,1000,single_rate
"(B1, NodeB12*)",2.1412,0.0504,42.4461,0.0,1.6449,Informative,2.7131,Informative,0.1143255,1000,single_rate
"(B2, NodeB12*)",2.1352,0.0499,42.767,0.0,1.6449,Informative,2.7131,Informative,0.08523859,1000,single_rate
"(B3, NodeB34*)",2.3411,0.052,44.9974,0.0,1.6449,Informative,2.7131,Informative,0.108061,1000,single_rate
"(B4, NodeB34*)",2.3245,0.0498,46.6625,0.0,1.6449,Informative,2.7131,Informative,0.04564976,1000,single_rate
"(B5, NodeB56*)",2.4217,0.0522,46.4292,0.0,1.6449,Informative,2.7131,Informative,0.09496297,1000,single_rate
"(B6, NodeB56*)",2.3734,0.0495,47.933,0.0,1.6449,Informative,2.7131,Informative,0.04347311,1000,single_rate
"(B7, NodeB78*)",2.3003,0.052,44.2545,0.0,1.6449,Informative,2.7131,Informative,0.1124404,1000,single_rate
"(B8, NodeB78*)",2.3039,0.0504,45.677,0.0,1.6449,Informative,2.7131,Informative,0.05110168,1000,single_rate
